"","Year","Medal","Time","Record","Event","Name","Athlete.Country","Host.City","Host.Country"
"1",2016,"Gold",10.71,NA,"100 metres","Elaine Thompson","Jamaica","Rio de Janeiro","Brazil"
"2",2016,"Gold",21.78,NA,"200 metres","Elaine Thompson","Jamaica","Rio de Janeiro","Brazil"
"3",2016,"Gold",49.44,NA,"400 metres","Shaunae Miller","Bahamas","Rio de Janeiro","Brazil"
"4",2016,"Gold",NA,NA,"800 metres","Caster Semenya","South Africa","Rio de Janeiro","Brazil"
"5",2016,"Gold",NA,NA,"1500 metres","Faith Kipyegon","Kenya","Rio de Janeiro","Brazil"
"6",2016,"Gold",NA,NA,"5000 metres","Vivian Cheruiyot","Kenya","Rio de Janeiro","Brazil"
"7",2016,"Gold",NA,NA,"10,000 metres","Almaz Ayana","Ethiopia","Rio de Janeiro","Brazil"
"8",2016,"Gold",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"9",2016,"Gold",12.48,NA,"100 metres hurdles","Brianna Rollins","United States","Rio de Janeiro","Brazil"
"10",2016,"Gold",53.13,NA,"400 metres hurdles","Dalilah Muhammad","United States","Rio de Janeiro","Brazil"
"11",2016,"Gold",NA,NA,"3000 metres steeplechase","Ruth Jebet","Bahrain","Rio de Janeiro","Brazil"
"12",2016,"Gold",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"13",2016,"Gold",41.02,NA,"4 × 100 metres relay","United States","(USA)Tianna BartolettaAllyson FelixEnglish GardnerTori BowieMorolake Akinosun*","Rio de Janeiro","Brazil"
"14",2016,"Gold",NA,NA,"4 × 400 metres relay","United States","(USA)Courtney OkoloNatasha HastingsPhyllis FrancisAllyson FelixTaylor Ellis-Watson*Francena McCorory*","Rio de Janeiro","Brazil"
"15",2016,"Gold",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"16",2016,"Gold",NA,NA,"Marathon","Jemima Sumgong","Kenya","Rio de Janeiro","Brazil"
"17",2016,"Gold",NA,NA,"20 kilometres walk","Liu Hong","China","Rio de Janeiro","Brazil"
"18",2016,"Gold",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"19",2016,"Gold",1.97,NA,"High jump","Ruth Beitia","Spain","Rio de Janeiro","Brazil"
"20",2016,"Gold",4.85,NA,"Pole vault","Ekaterini Stefanidi","Greece","Rio de Janeiro","Brazil"
"21",2016,"Gold",7.17,NA,"Long jump","Tianna Bartoletta","United States","Rio de Janeiro","Brazil"
"22",2016,"Gold",15.17,NA,"Triple jump","Caterine Ibargüen","Colombia","Rio de Janeiro","Brazil"
"23",2016,"Gold",20.63,NA,"Shot put","Michelle Carter","United States","Rio de Janeiro","Brazil"
"24",2016,"Gold",69.21,NA,"Discus throw","Sandra Perković","Croatia","Rio de Janeiro","Brazil"
"25",2016,"Gold",82.29,NA,"Hammer throw","Anita Włodarczyk","Poland","Rio de Janeiro","Brazil"
"26",2016,"Gold",66.18,NA,"Javelin throw","Sara Kolak","Croatia","Rio de Janeiro","Brazil"
"27",2016,"Gold",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"28",2016,"Gold",6810,NA,"Heptathlon","Nafissatou Thiam","Belgium","Rio de Janeiro","Brazil"
"29",2012,"Gold",10.75,NA,"100 metres","Shelly-Ann Fraser-Pryce","Jamaica","London","Great Britain"
"30",2012,"Gold",21.88,NA,"200 metres","Allyson Felix","United States","London","Great Britain"
"31",2012,"Gold",49.55,NA,"400 metres","Sanya Richards-Ross","United States","London","Great Britain"
"32",2012,"Gold",NA,NA,"800 metres  [e]","Caster Semenya","South Africa","London","Great Britain"
"33",2012,"Gold",NA,NA,"1500 metres [f]","Maryam Yusuf","Jamal Bahrain","London","Great Britain"
"34",2012,"Gold",NA,NA,"5000 metres","Meseret Defar","Ethiopia","London","Great Britain"
"35",2012,"Gold",NA,NA,"10,000 metres","Tirunesh Dibaba","Ethiopia","London","Great Britain"
"36",2012,"Gold",NA,NA,""," NA",NA,"London","Great Britain"
"37",2012,"Gold",12.35,"OR)","100 metres hurdles","Sally Pearson","Australia","London","Great Britain"
"38",2012,"Gold",52.7,NA,"400 metres hurdles","Natalya Antyukh","Russia","London","Great Britain"
"39",2012,"Gold",NA,NA,"3000 metres steeplechase [g]","Habiba Ghribi","Tunisia","London","Great Britain"
"40",2012,"Gold",NA,NA,""," NA",NA,"London","Great Britain"
"41",2012,"Gold",40.82,"WR)","4 × 100 m relay","United States","(USA)Tianna MadisonAllyson FelixBianca KnightCarmelita JeterJeneba Tarmoh*Lauryn Williams*","London","Great Britain"
"42",2012,"Gold",NA,NA,"4 × 400 m relay [h]","United States","(USA)DeeDee TrotterAllyson FelixFrancena McCororySanya Richards-RossKeshia Baker*Diamond Dixon*","London","Great Britain"
"43",2012,"Gold",NA,NA,""," NA",NA,"London","Great Britain"
"44",2012,"Gold",NA,"OR)","Marathon","Tiki Gelana","Ethiopia","London","Great Britain"
"45",2012,"Gold",NA,"WR)","20 kilometres walk [i]","Elena Lashmanova","Russia","London","Great Britain"
"46",2012,"Gold",NA,NA,""," NA",NA,"London","Great Britain"
"47",2012,"Gold",2.05,NA,"High jump [j]","Anna Chicherova","Russia","London","Great Britain"
"48",2012,"Gold",4.75,NA,"Pole vault","Jenn Suhr","United States","London","Great Britain"
"49",2012,"Gold",7.12,NA,"Long jump","Brittney Reese","United States","London","Great Britain"
"50",2012,"Gold",14.98,NA,"Triple jump","Olga Rypakova","Kazakhstan","London","Great Britain"
"51",2012,"Gold",20.7,NA,"Shot put [k]","Valerie Adams","New Zealand","London","Great Britain"
"52",2012,"Gold",69.11,NA,"Discus throw [l]","Sandra Perković","Croatia","London","Great Britain"
"53",2012,"Gold",77.6,NA,"Hammer throw [m]","Anita Włodarczyk","Poland","London","Great Britain"
"54",2012,"Gold",69.55,NA,"Javelin throw","Barbora Špotáková","Czech Republic","London","Great Britain"
"55",2012,"Gold",NA,NA,""," NA",NA,"London","Great Britain"
"56",2012,"Gold",6955,NA,"Heptathlon [n]","Jessica Ennis","Great Britain","London","Great Britain"
"57",2008,"Gold",10.78,NA,"100 metres ","Shelly-Ann Fraser","Jamaica","Beijing","China"
"58",2008,"Gold",21.74,NA,"200 metres ","Veronica Campbell-Brown","Jamaica","Beijing","China"
"59",2008,"Gold",49.62,NA,"400 metres ","Christine Ohuruogu","Great Britain","Beijing","China"
"60",2008,"Gold",NA,NA,"800 metres ","Pamela Jelimo","Kenya","Beijing","China"
"61",2008,"Gold",NA,NA,"1500 metres ","Nancy Jebet","Lagat Kenya","Beijing","China"
"62",2008,"Gold",NA,NA,"5000 metres   [g]","Tirunesh Dibaba","Ethiopia","Beijing","China"
"63",2008,"Gold",NA,"OR)","10,000 metres   [h]","Tirunesh Dibaba","Ethiopia","Beijing","China"
"64",2008,"Gold",12.54,NA,"100 metres hurdles ","Dawn Harper","United States","Beijing","China"
"65",2008,"Gold",52.64,"OR)","400 metres hurdles ","Melaine Walker","Jamaica","Beijing","China"
"66",2008,"Gold",NA,"WR)","3000 metres steeplechase  [i]","Gulnara Galkina-Samitova","Russia","Beijing","China"
"67",2008,"Gold",42.54,"NR)","4×100 metres relay [j]","BelgiumOlivia BorléeHanna","MariënÉlodie OuédraogoKim Gevaert","Beijing","China"
"68",2008,"Gold",NA,NA,"4×400 metres relay  [k]","United StatesMary","WinebergAllyson FelixMonique HendersonSanya RichardsNatasha Hastings*","Beijing","China"
"69",2008,"Gold",NA,NA,"Marathon ","Constantina Diṭă-Tomescu","Romania","Beijing","China"
"70",2008,"Gold",NA,"OR)","20 kilometres walk ","Olga Kaniskina","Russia","Beijing","China"
"71",2008,"Gold",NA,NA,"High jump  [l]","Tia Hellebaut","Belgium","Beijing","China"
"72",2008,"Gold",NA,"WR)","Pole vault ","Yelena Isinbayeva","Russia","Beijing","China"
"73",2008,"Gold",NA,NA,"Long jump  [m]","Maurren Maggi","Brazil","Beijing","China"
"74",2008,"Gold",NA,"OR)","Triple jump  [n]","Françoise Mbango","Etone Cameroon","Beijing","China"
"75",2008,"Gold",NA,NA,"Shot put  [o]","Valerie Vili","New Zealand","Beijing","China"
"76",2008,"Gold",NA,NA,"Discus throw  [p]","Stephanie Brown","Trafton United States","Beijing","China"
"77",2008,"Gold",NA,NA,"Hammer throw  [q]","Yipsi Moreno","Cuba","Beijing","China"
"78",2008,"Gold",NA,NA,"Javelin throw  [r]","Barbora Špotáková","Czech Republic","Beijing","China"
"79",2008,"Gold",6733,NA,"Heptathlon  [s]","Natalya Dobrynska","Ukraine","Beijing","China"
"80",2000,"Gold",NA,NA,"100 metres","Not awarded[2]",NA,"Atlanta","USA"
"81",2000,"Gold",NA,NA,"100 metres","Not awarded[2]",NA,"Atlanta","USA"
"82",2000,"Gold",22.27,NA,"200 metres","Pauline Davis-Thompson[2]","Bahamas","Atlanta","USA"
"83",2000,"Gold",49.11,NA,"400 metres","Cathy Freeman","Australia","Atlanta","USA"
"84",2000,"Gold",NA,NA,"800 metres","Maria de","Lurdes Mutola Mozambique","Atlanta","USA"
"85",2000,"Gold",NA,NA,"1500 metres","Nouria Mérah-Benida","Algeria","Atlanta","USA"
"86",2000,"Gold",NA,"OR)","5000 metres","Gabriela Szabo","Romania","Atlanta","USA"
"87",2000,"Gold",NA,"OR)","10,000 metres","Derartu Tulu","Ethiopia","Atlanta","USA"
"88",2000,"Gold",12.65,NA,"100 metres hurdles","Olga Shishigina","Kazakhstan","Atlanta","USA"
"89",2000,"Gold",53.02,NA,"400 metres hurdles","Irina Privalova","Russia","Atlanta","USA"
"90",2000,"Gold",41.95,NA,"4×100 metres relay","Bahamas (BAH)Savatheda","FynesChandra SturrupPauline Davis-ThompsonDebbie FergusonEldece Lewis*","Atlanta","USA"
"91",2000,"Gold",NA,NA,"4×400 metres relay","United States","(USA)Jearl Miles-ClarkMonique HennaganLaTasha ColanderAndrea Anderson*[3]","Atlanta","USA"
"92",2000,"Gold",NA,"OR)","Marathon","Naoko Takahashi","Japan","Atlanta","USA"
"93",2000,"Gold",NA,"OR)","20 kilometres walk","Wang Liping","China","Atlanta","USA"
"94",2000,"Gold",NA,NA,"High jump","Yelena Yelesina","Russia","Atlanta","USA"
"95",2000,"Gold",NA,NA,"High jump","Yelena Yelesina","Russia","Atlanta","USA"
"96",2000,"Gold",NA,"OR)","Pole vault","Stacy Dragila","United States","Atlanta","USA"
"97",2000,"Gold",NA,NA,"Long jump","Heike Drechsler","Germany","Atlanta","USA"
"98",2000,"Gold",NA,NA,"Triple jump","Tereza Marinova","Bulgaria","Atlanta","USA"
"99",2000,"Gold",NA,NA,"Shot put","Yanina Karolchik","Belarus","Atlanta","USA"
"100",2000,"Gold",NA,NA,"Discus throw","Ellina Zvereva","Belarus","Atlanta","USA"
"101",2000,"Gold",NA,NA,"Hammer throw","Kamila Skolimowska","Poland","Atlanta","USA"
"102",2000,"Gold",NA,"OR)","Javelin throw","Trine Hattestad","Norway","Atlanta","USA"
"103",2000,"Gold",6584,NA,"Heptathlon","Denise Lewis","Great Britain","Atlanta","USA"
"104",1996,"Gold",10.94,NA,"100 metres","Gail Devers","United States","Atlanta","USA"
"105",1996,"Gold",22.12,NA,"200 metres","Marie-José Pérec","France","Atlanta","USA"
"106",1996,"Gold",48.25,"OR)","400 metres","Marie-José Pérec","France","Atlanta","USA"
"107",1996,"Gold",NA,NA,"800 metres","Svetlana Masterkova","Russia","Atlanta","USA"
"108",1996,"Gold",NA,NA,"1500 metres","Svetlana Masterkova","Russia","Atlanta","USA"
"109",1996,"Gold",NA,"OR)","5000 metres","Wang Junxia","China","Atlanta","USA"
"110",1996,"Gold",NA,"OR)","10,000 metres","Fernanda Ribeiro","Portugal","Atlanta","USA"
"111",1996,"Gold",12.58,NA,"100 metres hurdles","Ludmila Engquist","Sweden","Atlanta","USA"
"112",1996,"Gold",52.82,"OR)","400 metres hurdles","Deon Hemmings","Jamaica","Atlanta","USA"
"113",1996,"Gold",41.95,NA,"4×100 metres relay","United States","(USA)Chryste GainesGail DeversInger MillerGwen TorrenceCarlette Guidry*","Atlanta","USA"
"114",1996,"Gold",NA,NA,"4×400 metres relay","United States","(USA)Rochelle StevensMaicel Malone-WallaceKim GrahamJearl MilesLinetta Wilson*","Atlanta","USA"
"115",1996,"Gold",NA,NA,"Marathon","Fatuma Roba","Ethiopia","Atlanta","USA"
"116",1996,"Gold",NA,"OR)","10 kilometres walk","Yelena Nikolayeva","Russia","Atlanta","USA"
"117",1996,"Gold",NA,NA,"High jump","Stefka Kostadinova","Bulgaria","Atlanta","USA"
"118",1996,"Gold",NA,NA,"Long jump","Chioma Ajunwa","Nigeria","Atlanta","USA"
"119",1996,"Gold",NA,"OR)","Triple jump","Inessa Kravets","Ukraine","Atlanta","USA"
"120",1996,"Gold",NA,NA,"Shot put","Astrid Kumbernuss","Germany","Atlanta","USA"
"121",1996,"Gold",NA,NA,"Discus throw","Ilke Wyludda","Germany","Atlanta","USA"
"122",1996,"Gold",NA,NA,"Javelin throw","Heli Rantanen","Finland","Atlanta","USA"
"123",1996,"Gold",6780,NA,"Heptathlon","Ghada Shouaa","Syria","Atlanta","USA"
"124",1992,"Gold",10.82,NA,"100 metres","Gail Devers","United States","Barcelona","Spain"
"125",1992,"Gold",21.81,NA,"200 metres","Gwen Torrence","United States","Barcelona","Spain"
"126",1992,"Gold",48.83,NA,"400 metres","Marie-José Pérec","France","Barcelona","Spain"
"127",1992,"Gold",NA,NA,"800 metres","Ellen van","Langen Netherlands","Barcelona","Spain"
"128",1992,"Gold",NA,NA,"1500 metres","Hassiba Boulmerka","Algeria","Barcelona","Spain"
"129",1992,"Gold",NA,NA,"3000 metres","Yelena Romanova","Unified Team( Russia)","Barcelona","Spain"
"130",1992,"Gold",NA,NA,"10,000 metres","Derartu Tulu","Ethiopia","Barcelona","Spain"
"131",1992,"Gold",12.64,NA,"100 metres hurdles","Voula Patoulidou","Greece","Barcelona","Spain"
"132",1992,"Gold",53.23,NA,"400 metres hurdles","Sally Gunnell","Great Britain","Barcelona","Spain"
"133",1992,"Gold",42.11,NA,"4×100 metres relay","United States","(USA)Evelyn AshfordEsther JonesCarlette GuidryGwen TorrenceMichelle Finn*","Barcelona","Spain"
"134",1992,"Gold",NA,NA,"4×400 metres relay","Unified Team","(EUN)Yelena RuzinaLyudmila DzhigalovaOlga NazarovaOlga BryzginaLiliya Nurutdinova*Marina Shmonina*","Barcelona","Spain"
"135",1992,"Gold",NA,NA,"Marathon","Valentina Yegorova","Unified Team( Russia)","Barcelona","Spain"
"136",1992,"Gold",NA,NA,"10 kilometres walk","Chen Yueling","China","Barcelona","Spain"
"137",1992,"Gold",NA,NA,"High jump","Heike Henkel","Germany","Barcelona","Spain"
"138",1992,"Gold",NA,NA,"Long jump","Heike Drechsler","Germany","Barcelona","Spain"
"139",1992,"Gold",NA,NA,"Shot put","Svetlana Krivelyova","Unified Team( Russia)","Barcelona","Spain"
"140",1992,"Gold",NA,NA,"Discus throw","Maritza Martén","Cuba","Barcelona","Spain"
"141",1992,"Gold",NA,NA,"Javelin throw","Silke Renk","Germany","Barcelona","Spain"
"142",1992,"Gold",7044,NA,"Heptathlon","Jackie Joyner-Kersee","United States","Barcelona","Spain"
"143",1988,"Gold",10.54,"OR)","100 metres","Florence Griffith","Joyner United States","Seoul","South Korea"
"144",1988,"Gold",21.34,"WR)","200 metres","Florence Griffith","Joyner United States","Seoul","South Korea"
"145",1988,"Gold",48.65,NA,"400 metres","Olga Bryzgina","Soviet Union","Seoul","South Korea"
"146",1988,"Gold",NA,NA,"800 metres","Sigrun Wodars","East Germany","Seoul","South Korea"
"147",1988,"Gold",NA,"OR)","1500 metres","Paula Ivan","Romania","Seoul","South Korea"
"148",1988,"Gold",NA,NA,"3000 metres","Tetyana Samolenko","Soviet Union","Seoul","South Korea"
"149",1988,"Gold",NA,NA,"10,000 metres","Olga Bondarenko","Soviet Union","Seoul","South Korea"
"150",1988,"Gold",12.38,"OR)","100 metres hurdles","Yordanka Donkova","Bulgaria","Seoul","South Korea"
"151",1988,"Gold",53.17,NA,"400 metres hurdles","Debbie Flintoff-King","Australia","Seoul","South Korea"
"152",1988,"Gold",41.98,NA,"4×100 metres relay","United States","(USA)Alice BrownSheila EcholsFlorence Griffith JoynerEvelyn AshfordDannette Young*","Seoul","South Korea"
"153",1988,"Gold",NA,"WR)","4×400 metres relay","Soviet Union","(URS)Tatyana LedovskayaOlga NazarovaMariya PiniginaOlha BryzhinaLyudmyla Dzhyhalova*","Seoul","South Korea"
"154",1988,"Gold",NA,NA,"Marathon","Rosa Mota","Portugal","Seoul","South Korea"
"155",1988,"Gold",NA,NA,"High jump","Louise Ritter","United States","Seoul","South Korea"
"156",1988,"Gold",NA,"OR)","Long jump","Jackie Joyner-Kersee","United States","Seoul","South Korea"
"157",1988,"Gold",NA,NA,"Shot put","Natalya Lisovskaya","Soviet Union","Seoul","South Korea"
"158",1988,"Gold",NA,"OR)","Discus throw","Martina Hellmann","East Germany","Seoul","South Korea"
"159",1988,"Gold",NA,"OR)","Javelin throw","Petra Felke","East Germany","Seoul","South Korea"
"160",1988,"Gold",7291,"WR)","Heptathlon","Jackie Joyner-Kersee","United States","Seoul","South Korea"
"161",1984,"Gold",10.97,NA,"100 metres","Evelyn Ashford","United States","Los Angeles","USA"
"162",1984,"Gold",21.81,NA,"200 metres","Valerie Brisco-Hooks","United States","Los Angeles","USA"
"163",1984,"Gold",48.83,NA,"400 metres","Valerie Brisco-Hooks","United States","Los Angeles","USA"
"164",1984,"Gold",NA,NA,"800 metres","Doina Melinte","Romania","Los Angeles","USA"
"165",1984,"Gold",NA,NA,"1500 metres","Gabriella Dorio","Italy","Los Angeles","USA"
"166",1984,"Gold",NA,NA,"3000 metres","Maricica Puică","Romania","Los Angeles","USA"
"167",1984,"Gold",12.84,NA,"100 metres hurdles","Benita Fitzgerald","United States","Los Angeles","USA"
"168",1984,"Gold",12.84,NA,"100 metres hurdles","Benita Fitzgerald","United States","Los Angeles","USA"
"169",1984,"Gold",54.61,NA,"400 metres hurdles","Nawal El","Moutawakel Morocco","Los Angeles","USA"
"170",1984,"Gold",41.65,NA,"4×100 metres relay","United States","(USA)Alice BrownJeanette BoldenChandra CheeseboroughEvelyn Ashford","Los Angeles","USA"
"171",1984,"Gold",NA,NA,"4×400 metres relay","United States","(USA)Lillie LeatherwoodSherri HowardValerie Brisco-HooksChandra CheeseboroughDiane Dixon*Denean Howard*","Los Angeles","USA"
"172",1984,"Gold",NA,NA,"Marathon","Joan Benoit","United States","Los Angeles","USA"
"173",1984,"Gold",NA,NA,"High jump","Ulrike Meyfarth","West Germany","Los Angeles","USA"
"174",1984,"Gold",NA,NA,"Long jump","Anişoara Cuşmir-Stanciu","Romania","Los Angeles","USA"
"175",1984,"Gold",NA,NA,"Shot put","Claudia Losch","West Germany","Los Angeles","USA"
"176",1984,"Gold",NA,NA,"Discus throw","Ria Stalman","Netherlands","Los Angeles","USA"
"177",1984,"Gold",NA,NA,"Javelin throw","Tessa Sanderson","Great Britain","Los Angeles","USA"
"178",1984,"Gold",6390,NA,"Heptathlon","Glynis Nunn","Australia","Los Angeles","USA"
"179",1980,"Gold",11.06,NA,"100 metres","Lyudmila Kondratyeva","Soviet Union","Moscow","Russia"
"180",1980,"Gold",22.03,NA,"200 metres","Bärbel Wöckel","East Germany","Moscow","Russia"
"181",1980,"Gold",48.88,NA,"400 metres","Marita Koch","East Germany","Moscow","Russia"
"182",1980,"Gold",NA,NA,"800 metres","Nadiya Olizarenko","Soviet Union","Moscow","Russia"
"183",1980,"Gold",NA,NA,"1500 metres","Tatyana Kazankina","Soviet Union","Moscow","Russia"
"184",1980,"Gold",12.56,NA,"100 metres hurdles","Vera Komisova","Soviet Union","Moscow","Russia"
"185",1980,"Gold",41.6,NA,"4×100 metres relay","East Germany","(GDR)Romy MüllerBärbel WöckelIngrid AuerswaldMarlies Göhr","Moscow","Russia"
"186",1980,"Gold",NA,NA,"4×400 metres relay","Soviet Union","(URS)Tatyana ProrochenkoTatyana GoyshchikNina ZiuskovaIrina Nazarova","Moscow","Russia"
"187",1980,"Gold",NA,NA,"High jump","Sara Simeoni","Italy","Moscow","Russia"
"188",1980,"Gold",NA,NA,"Long jump","Tatyana Kolpakova","Soviet Union","Moscow","Russia"
"189",1980,"Gold",NA,NA,"Shot put","Ilona Slupianek","East Germany","Moscow","Russia"
"190",1980,"Gold",NA,NA,"Discus throw","Evelin Jahl","East Germany","Moscow","Russia"
"191",1980,"Gold",NA,NA,"Javelin throw","María Caridad","Colón Cuba","Moscow","Russia"
"192",1980,"Gold",5083,NA,"Pentathlon","Nadiya Tkachenko","Soviet Union","Moscow","Russia"
"193",1976,"Gold",11.08,NA,"100 metres","Annegret Richter","West Germany","Montreal","Canada"
"194",1976,"Gold",22.37,NA,"200 metres","Bärbel Eckert","East Germany","Montreal","Canada"
"195",1976,"Gold",49.28,NA,"400 metres","Irena Szewińska","Poland","Montreal","Canada"
"196",1976,"Gold",NA,NA,"800 metres","Tatyana Kazankina","Soviet Union","Montreal","Canada"
"197",1976,"Gold",NA,NA,"1500 metres","Tatyana Kazankina","Soviet Union","Montreal","Canada"
"198",1976,"Gold",12.77,NA,"100 metres hurdles","Johanna Schaller","East Germany","Montreal","Canada"
"199",1976,"Gold",42.55,NA,"4×100 metres relay","East Germany","(GDR)Marlies OelsnerRenate StecherCarla BodendorfBärbel Eckert","Montreal","Canada"
"200",1976,"Gold",NA,NA,"4×400 metres relay","East Germany","(GDR)Doris MaletzkiBrigitte RohdeEllen StreidtChristina Brehmer","Montreal","Canada"
"201",1976,"Gold",NA,NA,"High jump","Rosemarie Ackermann","East Germany","Montreal","Canada"
"202",1976,"Gold",NA,NA,"Long jump","Angela Voigt","East Germany","Montreal","Canada"
"203",1976,"Gold",NA,NA,"Shot put","Ivanka Khristova","Bulgaria","Montreal","Canada"
"204",1976,"Gold",NA,NA,"Discus throw","Evelin Schlaak","East Germany","Montreal","Canada"
"205",1976,"Gold",NA,NA,"Javelin throw","Ruth Fuchs","East Germany","Montreal","Canada"
"206",1976,"Gold",4745,NA,"Pentathlon","Siegrun Siegl","East Germany","Montreal","Canada"
"207",1972,"Gold",11.07,"WR)","100 metres","Renate Stecher","East Germany","Munich","Germany"
"208",1972,"Gold",22.4,"=WR)","200 metres","Renate Stecher","East Germany","Munich","Germany"
"209",1972,"Gold",51.08,NA,"400 metres","Monika Zehrt","East Germany","Munich","Germany"
"210",1972,"Gold",NA,"OR)","800 metres","Hildegard Falck","West Germany","Munich","Germany"
"211",1972,"Gold",NA,"WR)","1500 metres","Ludmila Bragina","Soviet Union","Munich","Germany"
"212",1972,"Gold",12.59,"WR)","100 metres hurdles","Annelie Ehrhardt","East Germany","Munich","Germany"
"213",1972,"Gold",42.81,NA,"4×100 metres relay","West Germany","(FRG)Christiane KrauseIngrid BeckerAnnegret RichterHeide Rosendahl","Munich","Germany"
"214",1972,"Gold",NA,NA,"4×400 metres relay","East Germany","(GDR)Dagmar KäslingRita KühneHelga SeidlerMonika Zehrt","Munich","Germany"
"215",1972,"Gold",1.92,"=WR)","High jump","Ulrike Meyfarth","West Germany","Munich","Germany"
"216",1972,"Gold",6.78,NA,"Long jump","Heide Rosendahl","West Germany","Munich","Germany"
"217",1972,"Gold",21.03,"WR)","Shot put","Nadezhda Chizhova","Soviet Union","Munich","Germany"
"218",1972,"Gold",66.62,"OR)","Discus throw","Faina Melnik","Soviet Union","Munich","Germany"
"219",1972,"Gold",63.88,"OR)","Javelin throw","Ruth Fuchs","East Germany","Munich","Germany"
"220",1972,"Gold",4801,"WR)","Pentathlon","Mary Peters","Great Britain","Munich","Germany"
"221",1968,"Gold",11.08,NA,"100 metres","Wyomia Tyus","United States","Mexico City","Mexico"
"222",1968,"Gold",22.58,NA,"200 metres","Irena Szewińska","Poland","Mexico City","Mexico"
"223",1968,"Gold",52.03,NA,"400 metres","Colette Besson","France","Mexico City","Mexico"
"224",1968,"Gold",NA,NA,"800 metres","Madeline Manning","United States","Mexico City","Mexico"
"225",1968,"Gold",10.39,NA,"80 metres hurdles","Maureen Caird","Australia","Mexico City","Mexico"
"226",1968,"Gold",42.88,NA,"4×100 metres relay","United States","(USA)Margaret BailesBarbara FerrellMildrette NetterWyomia Tyus","Mexico City","Mexico"
"227",1968,"Gold",1.82,NA,"High jump","Miloslava Rezková","Czechoslovakia","Mexico City","Mexico"
"228",1968,"Gold",6.82,NA,"Long jump","Viorica Viscopoleanu","Romania","Mexico City","Mexico"
"229",1968,"Gold",19.61,NA,"Shot put","Margitta Gummel","East Germany","Mexico City","Mexico"
"230",1968,"Gold",58.28,NA,"Discus throw","Lia Manoliu","Romania","Mexico City","Mexico"
"231",1968,"Gold",60.36,NA,"Javelin throw","Angéla Németh","Hungary","Mexico City","Mexico"
"232",1968,"Gold",5098,NA,"Pentathlon","Ingrid Becker","West Germany","Mexico City","Mexico"
"233",1964,"Gold",11.4,NA,"100 metres","Wyomia Tyus","United States","Tokyo","Japan"
"234",1964,"Gold",23,"OR)","200 metres","Edith McGuire","United States","Tokyo","Japan"
"235",1964,"Gold",52,"OR)","400 metres","Betty Cuthbert","Australia","Tokyo","Japan"
"236",1964,"Gold",NA,"WR)","800 metres","Ann Packer","Great Britain","Tokyo","Japan"
"237",1964,"Gold",10.5,NA,"80 metres hurdles","Karin Balzer","United Team of Germany","Tokyo","Japan"
"238",1964,"Gold",43.6,"WR)","4×100 metres relay","Poland (POL)Teresa","CiepłyIrena KirszensteinHalina GóreckaEwa Kłobukowska","Tokyo","Japan"
"239",1964,"Gold",1.9,"OR)","High jump","Iolanda Balaş","Romania","Tokyo","Japan"
"240",1964,"Gold",6.76,"WR)","Long jump","Mary Rand","Great Britain","Tokyo","Japan"
"241",1964,"Gold",18.14,"OR)","Shot put","Tamara Press","Soviet Union","Tokyo","Japan"
"242",1964,"Gold",57.27,"OR)","Discus throw","Tamara Press","Soviet Union","Tokyo","Japan"
"243",1964,"Gold",60.54,NA,"Javelin throw","Mihaela Peneş","Romania","Tokyo","Japan"
"244",1964,"Gold",5246,"WR)","Pentathlon","Irina Press","Soviet Union","Tokyo","Japan"
"245",1960,"Gold",11,NA,"100 metres","Wilma Rudolph","United States","Rome","Italy"
"246",1960,"Gold",24,NA,"200 metres","Wilma Rudolph","United States","Rome","Italy"
"247",1960,"Gold",NA,"=WR)","800 metres","Lyudmila Shevtsova","Soviet Union","Rome","Italy"
"248",1960,"Gold",10.8,NA,"80 metres hurdles","Irina Press","Soviet Union","Rome","Italy"
"249",1960,"Gold",44.5,NA,"4×100 metres relay","United States","(USA)Martha HudsonLucinda WilliamsBarbara JonesWilma Rudolph","Rome","Italy"
"250",1960,"Gold",1.85,"OR)","High jump","Iolanda Balaș","Romania","Rome","Italy"
"251",1960,"Gold",1.85,"OR)","High jump","Iolanda Balaș","Romania","Rome","Italy"
"252",1960,"Gold",6.37,"OR)","Long jump","Vera Krepkina","Soviet Union","Rome","Italy"
"253",1960,"Gold",17.32,"OR)","Shot put","Tamara Press","Soviet Union","Rome","Italy"
"254",1960,"Gold",55.1,"OR)","Discus throw","Nina Ponomaryova","Soviet Union","Rome","Italy"
"255",1960,"Gold",55.98,"OR)","Javelin throw","Elvīra Ozoliņa","Soviet Union","Rome","Italy"
"256",1956,"Gold",11.5,NA,"100 metres","Betty Cuthbert","Australia","Melbourne","Australia"
"257",1956,"Gold",23.4,"=OR)","200 metres","Betty Cuthbert","Australia","Melbourne","Australia"
"258",1956,"Gold",10.7,"OR)","80 metres hurdles","Shirley Strickland","de la Hunty Australia","Melbourne","Australia"
"259",1956,"Gold",44.5,"WR)","4 × 100 metres relay","Australia (AUS)Norma","CrokerBetty CuthbertFleur MellorShirley Strickland de la Hunty","Melbourne","Australia"
